U-Turn Detection Debug Log
==================================================
Checking 7 -> 18: Travel = 0.22m, Straight = 0.22m
Checking 7 -> 19: Travel = 0.29m, Straight = 0.28m
Checking 7 -> 20: Travel = 0.31m, Straight = 0.29m
Checking 7 -> 21: Travel = 0.32m, Straight = 0.30m
Checking 7 -> 22: Travel = 0.37m, Straight = 0.33m
Checking 7 -> 23: Travel = 0.38m, Straight = 0.34m
Checking 7 -> 24: Travel = 0.38m, Straight = 0.34m
Checking 7 -> 25: Travel = 0.39m, Straight = 0.35m
Checking 7 -> 26: Travel = 0.40m, Straight = 0.35m
Checking 7 -> 27: Travel = 0.42m, Straight = 0.36m
Checking 7 -> 28: Travel = 0.44m, Straight = 0.37m
Checking 7 -> 29: Travel = 0.46m, Straight = 0.38m
Checking 7 -> 30: Travel = 0.48m, Straight = 0.39m
Checking 7 -> 31: Travel = 0.52m, Straight = 0.42m
Checking 7 -> 32: Travel = 0.54m, Straight = 0.44m
Checking 7 -> 33: Travel = 0.61m, Straight = 0.48m
Checking 7 -> 34: Travel = 0.65m, Straight = 0.51m
Checking 7 -> 35: Travel = 0.66m, Straight = 0.52m
Checking 7 -> 36: Travel = 0.67m, Straight = 0.53m
Checking 7 -> 37: Travel = 0.69m, Straight = 0.54m
Checking 7 -> 38: Travel = 0.78m, Straight = 0.62m
Checking 7 -> 39: Travel = 0.84m, Straight = 0.68m
Checking 7 -> 40: Travel = 0.87m, Straight = 0.71m
Checking 7 -> 41: Travel = 0.95m, Straight = 0.78m
Checking 7 -> 42: Travel = 1.01m, Straight = 0.84m
Checking 7 -> 43: Travel = 1.09m, Straight = 0.92m
Checking 7 -> 44: Travel = 1.20m, Straight = 1.01m
Checking 7 -> 45: Travel = 1.21m, Straight = 1.02m
Checking 7 -> 46: Travel = 1.23m, Straight = 1.03m
Checking 7 -> 47: Travel = 1.30m, Straight = 0.96m
Checking 7 -> 48: Travel = 1.35m, Straight = 0.92m
Checking 7 -> 49: Travel = 1.39m, Straight = 0.88m
Checking 7 -> 50: Travel = 1.41m, Straight = 0.87m
Checking 7 -> 51: Travel = 1.42m, Straight = 0.86m
Checking 7 -> 52: Travel = 1.48m, Straight = 0.80m
Checking 7 -> 53: Travel = 1.53m, Straight = 0.75m
Checking 7 -> 54: Travel = 1.56m, Straight = 0.73m
Checking 7 -> 55: Travel = 1.59m, Straight = 0.70m
Checking 7 -> 56: Travel = 1.62m, Straight = 0.67m
Checking 7 -> 57: Travel = 1.66m, Straight = 0.63m
Checking 7 -> 58: Travel = 1.71m, Straight = 0.59m
Checking 7 -> 59: Travel = 1.78m, Straight = 0.53m
Checking 7 -> 60: Travel = 1.80m, Straight = 0.51m
Checking 7 -> 61: Travel = 1.84m, Straight = 0.55m
Checking 7 -> 62: Travel = 1.94m, Straight = 0.64m
Checking 7 -> 63: Travel = 1.94m, Straight = 0.64m
Checking 7 -> 64: Travel = 1.94m, Straight = 0.65m
Checking 7 -> 65: Travel = 1.95m, Straight = 0.65m
Checking 7 -> 66: Travel = 1.99m, Straight = 0.67m
Checking 7 -> 67: Travel = 2.04m, Straight = 0.62m
Checking 8 -> 18: Travel = 0.22m, Straight = 0.22m
Checking 8 -> 19: Travel = 0.28m, Straight = 0.27m
Checking 8 -> 20: Travel = 0.30m, Straight = 0.29m
Checking 8 -> 21: Travel = 0.31m, Straight = 0.29m
Checking 8 -> 22: Travel = 0.37m, Straight = 0.33m
Checking 8 -> 23: Travel = 0.37m, Straight = 0.33m
Checking 8 -> 24: Travel = 0.38m, Straight = 0.33m
Checking 8 -> 25: Travel = 0.39m, Straight = 0.35m
Checking 8 -> 26: Travel = 0.40m, Straight = 0.35m
Checking 8 -> 27: Travel = 0.42m, Straight = 0.35m
Checking 8 -> 28: Travel = 0.44m, Straight = 0.36m
Checking 8 -> 29: Travel = 0.46m, Straight = 0.38m
